site_ID,site_name,latitude_numeric,longitude_numeric,blurred_coordinates,topography_m,freshwater_depth_m,realm_1,realm_2,biome_1,biome_2,functional_group_1,functional_group_2,contributor_comments
11828,Alcubillas,41.2643,-2.5209,FALSE,1124,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
11829,Maranchón1,41.0447,-2.229,FALSE,1254,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
11830,Maranchón2,41.0694,-2.2414,FALSE,1254,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
11831,Maranchón3,41.0358,-2.2817,FALSE,1254,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
11832,Maranchón4,41.0384,-2.298,FALSE,1254,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
11833,Sauca1,41.0251,-2.524,FALSE,1099,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
11834,Sauca2,41.0298,-2.5422,FALSE,1099,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
11835,Estriégana,41.0598,-2.5404,FALSE,1106,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
11836,Barbatona1,41.0499,-2.607,FALSE,1146,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
11837,Barbatona2,41.0485,-2.6211,FALSE,1146,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
11838,Cercadillo1,41.1576,-2.791,FALSE,1130,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
11839,Cercadillo2,41.1566,-2.7985,FALSE,1130,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
11840,Golondrina1,41.2121,-2.8725,FALSE,1110,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
11841,Golondrina2,41.2221,-2.8651,FALSE,1110,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
11842,La Vara1,41.2951,-2.8839,FALSE,1080,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
11843,La Vara2,41.2926,-2.8892,FALSE,1080,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
11844,Bujalcayado,41.1341,-2.7128,FALSE,1072,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
11845,Santamera,41.1235,-2.7667,FALSE,915,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
11846,Castilviejo,41.1454,-2.7306,FALSE,1079,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
11847,Alto de Solanillos,41.1396,-2.7525,FALSE,1121,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
11848,Molina,40.8576,-1.8953,FALSE,1012,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
11849,Valsalobre,40.822,-1.9013,FALSE,1011,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
11850,El Carrascal,40.8053,-1.9114,FALSE,1020,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
11851,Morenilla,40.7842,-1.6844,FALSE,989,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
11852,Anquela,40.7772,-1.7016,FALSE,1133,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
11853,Morenilla,40.7658,-1.6517,FALSE,1121,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
11854,Alto del Viso,40.9936,-2.1664,FALSE,1089,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
11855,Alto de la Silla,41.0025,-2.1242,FALSE,1134,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
11856,Clares,41.0363,-2.1642,FALSE,1080,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
11857,Molina,41.044,-2.2285,FALSE,998,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
11858,Ciruelos,41.0189,-2.2171,FALSE,1035,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
11859,El Llano,41.0343,-2.201,FALSE,1102,,Terrestrial,"",Shrublands and shrubby woodlands biome,"",Seasonally dry temperate heath and shrublands,"",""
