collection_ID,name,ecoSound-web_link,primary_contributors,secondary_contributors,date_added,URL_open_recordings,URL_project,DOI_publication,core_realm_IUCN,medium,locality,spatial_selection,temporal_exclusion,contributor_comments
415,Birds from Costal Dunes of Agigea,https://ecosound-web.de/ecosound_web/collection/show/415,Emanuel Stefan Baltag,"",2023-04-11,none,none,none,Terrestrial,air,Costal Dunes of Agigea Protected Area,costal sand dunes with bushes,none,Bird migration
418,Birds migration across the Black Sea,https://ecosound-web.de/ecosound_web/collection/show/418,Emanuel Stefan Baltag,"",2023-04-12,none,none,none,Marine,air,Black Sea,marine,none,Bird Migration across the Black Sea
139,Biodiversity Brazilian South Pantanal,https://ecosound-web.de/ecosound_web/collection/show/139,"Larissa Sayuri Moreira Sugai,Liliana Piatti","Base de Estudos do Pantanal - UFMS,Estância Mimosa Ecoturismo,Pousada Xaraés,Refúgio Ecológico Caiman,Refúgio da Ilha Ecolodge",2023-04-16,none,none,none,Terrestrial,air,Southern Brazilian Pantanal,Seasonal flooded grassland,none,""
140,ECO-OLIVES Tuscany - Bird Monitoring,https://ecosound-web.de/ecosound_web/collection/show/140,"Tara Hanf-Dressler,Rym Nouioua",Bea Maas,2023-04-24,none,https://bdc.univie.ac.at/research/current-projects/eco-olives/,none,Terrestrial,air,"Toscany, Italy",Agricultural landscape (olive groves) and semi natural habitat,none,Project (recording) is still ongoing
252,Bats in Swedish Forder Borders,https://ecosound-web.de/ecosound_web/collection/show/252,Heather Wood,"",2023-04-25,none,none,none,Terrestrial,air,Sweden: Uppland and Södermanland,Forest borders randomly selected within 9 x 10km diameter landscapes. Borders were elected along a gradient of structural complexity. Forest borders were sampled on the same night as an adajacent open agricultural field and a plantation forest. So at each site 3 detectors were deployed.,rain/wind,Data analysis is still on going.
187,BirdLife South Africa Wetland Surveys,https://ecosound-web.de/ecosound_web/collection/show/187,Kyle John Lloyd,"Marlize Muller,Hanneline Smit-Robinson",2023-06-06,none,https://www.birdlife.org.za/what-we-do/landscape-conservation/protecting-ecosystems/#1649165656318-b05f1cba-8f14,none,Terrestrial,air,Eastern South Africa,"High-elevation wetlands on protected, private and communal lands. Wetlands were generally valley-bottom, sedge dominated, ankle-deep waters, minimal degradation.",none,Ongoing data collection (ends March 2024). Data analysis from 2024 to 2026.
199,Arid Soundscape Sri Lanka,https://ecosound-web.de/ecosound_web/collection/show/199,Tharaka Kusuminda,"",2023-07-01,none,none,none,Terrestrial,air,"Thalaimannar, Mannar Island, Sri Lanka",Home garden of Arid climatic zone,none,Ongoing data collecton from different habitats in Sri Lanka
397,ECOA 1,https://ecosound-web.de/ecosound_web/collection/show/397,"Marina Duarte,Renata Sousa-Lima, Carolina Gonzaga",Robert John Young,2013-08-15,none,none,10.1016/j.biocon.2015.08.006; 10.1007/s10329-017-0629-4; 10.1177/194008291500800117,Terrestrial,air,"Estação Ambiental de Peti, Minas Geras, Brasil","",rain/wind,""
398,ECOA 2,https://ecosound-web.de/ecosound_web/collection/show/398,"Marina Duarte,Renata Sousa-Lima",Robert John Young,2013-08-01,none,none,10.1016/j.scitotenv.2021.144988; 10.1177/194008291500800117,Terrestrial,air,"Parque Nacional da Serra do Cipó, Minas Gerais, Brazil ","",rain/wind,Assessing shearwater breeding colony size from call intensity
399,ECOA 3,https://ecosound-web.de/ecosound_web/collection/show/399,"Marina Duarte,Renata Sousa-Lima",Robert John Young,2013-08-01,none,none,10.1177/194008291500800117,Terrestrial,air,"Parque Estadual do Rola Moça, Minas Gerais, Brasil","",rain/wind,""
400,ECOA 4,https://ecosound-web.de/ecosound_web/collection/show/400,"Marina Duarte,Luciana Nacimento ","",2017-04-01,none,none,10.1163/15685381-20191079; 10.1111/eth.13198,Terrestrial,air,"Serra da Piedade, Minas Gerais, Brazil","",rain/wind,""
298,ECOA 5,https://ecosound-web.de/ecosound_web/collection/show/298,Marina Duarte,"",2021-01-12,none,none,none,Terrestrial,air,"Santuário Serra da Piedade, Minas Gerais, Brazil","",rain/wind,""
299,ECOA 6,https://ecosound-web.de/ecosound_web/collection/show/299,Marina Duarte,"",2015-08-01,none,none,none,Terrestrial,air,"Santuário Serra da Piedade, Minas Gerais, Brazil","",rain/wind,""
321,ECOA 7,https://ecosound-web.de/ecosound_web/collection/show/321,Marina Duarte,"",2018-12-15,none,none,none,Terrestrial,air,"Parque Nacional da Serra do Cipó, Minas Gerais, Brazil","",rain/wind,""
339,ECOA 8,https://ecosound-web.de/ecosound_web/collection/show/339,Marina Duarte,"",2021-01-15,none,none,none,Terrestrial,air,"Parque Nacional da Serra do Cipó, Minas Gerais, Brazil","",rain/wind,""
419,ECOA 9,https://ecosound-web.de/ecosound_web/collection/show/419,"Robert Young,Sara Gonçalves,Nadia Pieretti,Marina Duarte","",2012-08-15,none,none,10.21068/c2021.v22n01a06,Terrestrial,air,"Mata da PUC - Minas, Minas Gerais, Brazil","",rain/wind,""
420,ECOA 10,https://ecosound-web.de/ecosound_web/collection/show/420,Marina Duarte,"",2016-05-01,none,none,none,Terrestrial,air,"Parque Municipal das Mangabeiras, Minas Gerias, Brazil","",rain/wind,""
421,ECOA 11,https://ecosound-web.de/ecosound_web/collection/show/421,Marina Duarte,"",2020-07-01,none,none,none,Terrestrial,air,"Área Urbana de Belo Horizonte, Minas Gerais, Brazil","",wind,""
463,ECOA 12,https://ecosound-web.de/ecosound_web/collection/show/463,Marina Duarte,"",2020-12-01,none,none,none,Terrestrial,air,"Floresta Estadual do Uaimií, Minas Gerais, Brazil","",wind,""
464,ECOA 13,https://ecosound-web.de/ecosound_web/collection/show/464,Marina Duarte,"",2021-10-12,none,none,none,Terrestrial,air,"Fazendo Bocaína - Serra do Caraça, Minas Gerais, Brazil","",rain/wind,""
136,Cerrado Birds,https://ecosound-web.de/ecosound_web/collection/show/136,Pedro Diniz,"",2023-07-11,none,none,none,Terrestrial,air,"Embrapa Cerrados - Brasilia, Brazil",Typical Cerrado (savanna) vegetation - minimum distance between recordings ~1km,none,""
123,"TBU Blind river arms, Czechia",https://ecosound-web.de/ecosound_web/collection/show/123,Matyáš Adam,"",2023-07-28,none,none,none,Terrestrial,air,Czechia,natural and seminatural landscape,none,Data analysis in process
125,"TBU tropical mountain forest, Philippines",https://ecosound-web.de/ecosound_web/collection/show/125,"Matyáš Adam,Matthew Ward",Emilio Tan,2023-07-28,none,none,none,Terrestrial,air,"Negros, Philippines",mountain tropical forest,none,""
190,"TBU tropical lowland forest, Philippines",https://ecosound-web.de/ecosound_web/collection/show/190,"Matyáš Adam,Matthew Ward","Justine Magbanua,Guillermo McPherson",2023-07-28,none,none,none,Terrestrial,air,"Negros, Philippines",lowland tropical forest patch,none,""
192,RSPB Ramsey Island,https://ecosound-web.de/ecosound_web/collection/show/192,Steffen Oppel,Greg and Lisa Morgan,2023-10-04,none,https://www.rspb.org.uk/reserves-and-events/reserves-a-z/ramsey-island/,none,Terrestrial,air,"Ramsey Island, Wales, United Kingdom","nearshore island, shearwater breeding colonies",none,trial data collection during one season on Ramsey Island targeting Manx Shearwater (nocturnal burrow nesting birds)
260,StHelena,https://ecosound-web.de/ecosound_web/collection/show/260,Steffen Oppel,"Annalea Beard,Leeann Henry,Elizabeth Clingham",2023-10-11,https://zenodo.org/record/7589686,none,none,Terrestrial,air,"islets and mainland cliffs of St Helena Island, South Atlantic Ocean",rocky islands and rocky coastal cliffs,none,intended to quantify Madeiran Storm Petrel vocalisation intensity. recordings not automatically open access but available on request.
196,"HIFI Lab, midwest US corridor",https://ecosound-web.de/ecosound_web/collection/show/196,Kristen Bellisario,"Luca Iacobucci,Abigail Seybert,Sierra Hunicutt,Hannah Reyes,Katie Huong,Anthony Tan",2023-10-04,Arbimon,https://arbimon.org/p/corridors/settings,none,Terrestrial,air,"Midwest, United States","temperate forest, parks, wetland, nature preserves",none,wildlife corridor monitoring
